1510s,1510s,ebroadwe
1510s,[1510s],Kenan Jaffe
1570s,1570s,Provenance Online Project
1570s,[1570s],Kenan Jaffe
1578,[1578],Kenan Jaffe
1578,1578,Provenance Online Project
1600s,1600s,ebroadwe
1600s,1600's,Provenance Online Project
1620s,1620s,Provenance Online Project
1620s,1620's,Provenance Online Project
1760s,1760s,ebroadwe
1760s,1760's,Provenance Online Project
1820s,[1820s],Kenan Jaffe
1820s,1820s,Provenance Online Project
alleynethomas,"Alleyne, Thomas",adicel79
alleynethomas,"Alleyne, Thomas\",adicel79
apgl,A. P. G. L,Provenance Online Project
apgl,A. P. G. L.,Provenance Online Project
armorialbookplates,Armorial Bookplates,Provenance Online Project
armorialbookplates,Armorial bookplates,Provenance Online Project
bibliotecaaltempsiana,Biblioteca altempsiana,Provenance Online Project
bibliotecaaltempsiana,Biblioteca Altempsiana,Provenance Online Project
bibliotecanazionalecentraledifirenze,Biblioteca Nazionale Centrale di Firenze,adicel79
bibliotecanazionalecentraledifirenze,Biblioteca nazionale centrale di Firenze,ebroadwe
blindstampedbindings,Blind stamped bindings,Provenance Online Project
blindstampedbindings,Blind-stamped bindings,Provenance Online Project
bonnellhenryhhenryhouston18591926,"Bonnell, Henry H. (Henry Houston) 1859-1926",Provenance Online Project
bonnellhenryhhenryhouston18591926,"Bonnell, Henry H. (Henry Houston), 1859-1926",Provenance Online Project
booksellerslabels,booksellerslabels,mfraas
booksellerslabels,Booksellers' labels,Provenance Online Project
bregenzaustria,Bregenz (Austria),ebroadwe
bregenzaustria,"Bregenz, Austria",ebroadwe
brownjbarryjohnbarrymeredithb1885,"Brown, J. Barry (John Barry Meredith) b. 1885",miglpenn
brownjbarryjohnbarrymeredithb1885,"Brown, J. Barry (John Barry Meredith), b. 1885",miglpenn
carligiovannivigiliodeb1740,"Carli, Giovanni Vigilio, de, b. 1740",adicel79
carligiovannivigiliodeb1740,"Carli, Giovanni Vigilio de, b. 1740",adicel79
collegiodeigesuitidipistoia,Collegio dei Gesuiti di Pistoia,Provenance Online Project
collegiodeigesuitidipistoia,Collegio dei gesuiti di Pistoia,Provenance Online Project
concettionedicapuccinidinapoli,Concettione di Capuccini di napoli,noonie86
concettionedicapuccinidinapoli,Concettione di capuccini di napoli,noonie86
conventodeicapuccininaplesitaly,"Convento dei Capuccini (Naples, Italy)",noonie86
conventodeicapuccininaplesitaly,Convento dei Capuccini (Naples Italy),noonie86
conventodisanfrancescostronconeitaly,"Convento di San Francesco, (Stroncone, Italy)",Provenance Online Project
conventodisanfrancescostronconeitaly,"Convento di San Francesco (Stroncone, Italy)",Provenance Online Project
conventodisanmartinosienaitaly,"Convento di San Martino (Siena, Italy)",adicel79
conventodisanmartinosienaitaly,"Convento di San Martino, Siena (Italy)",adicel79
conventodismariamaddalenaromeitalybiblioteca,"Convento di S Maria Maddalena (Rome, Italy). Biblioteca.",noonie86
conventodismariamaddalenaromeitalybiblioteca,"Convento di S. Maria Maddalena (Rome, Italy). Biblioteca",noonie86
cousturierpierre14751537,"Cousturier, Pierre 1475?-1537",ebroadwe
cousturierpierre14751537,"Cousturier, Pierre, 1475?-1537",ebroadwe
cristodebarou,Cristo. de Barou,Provenance Online Project
cristodebarou,Cristo de Barou,Provenance Online Project
crossedout,Crossed-out,Provenance Online Project
crossedout,crossed out,Provenance Online Project
crossedout,Crossed out,Provenance Online Project
cultureclassbestiary,Culture Class Bestiary,Provenance Online Project
cultureclassbestiary,Culture Class bestiary,Provenance Online Project
ec,E.C.,Provenance Online Project
ec,E. C.,Provenance Online Project
eckoswaldvond1573,"Eck, Oswald von, d. 1573",ebroadwe
eckoswaldvond1573,"Eck, Oswald von d. 1573",noonie86
estealessandrod15681624,"Este, Alessandro d, 1568-1624",adicel79
estealessandrod15681624,"Este, Alessandro d', 1568-1624",adicel79
ferraraitaly,Ferrara (Italy,Kenan Jaffe
ferraraitaly,Ferrara (Italy),noonie86
fürstenberghans,"Furstenberg, Hans",ebroadwe
fürstenberghans,"Fürstenberg, Hans",ebroadwe
fürstlichleiningenschebibliothek,Fürstlich-Leiningensche Bibliothek,Provenance Online Project
fürstlichleiningenschebibliothek,Fürstlich Leiningensche Bibliothek,ebroadwe
gb,G B,noonie86
gb,G. B.,Provenance Online Project
gc5m4804518i1538,GC5 M4804 518 i 1538,Provenance Online Project
gc5m4804518i1538,GC5 M4804 518i 1538,Provenance Online Project
giuntalucaantonio14571538,"Giunta, Luca-Antonio, 1457-1538",ebroadwe
giuntalucaantonio14571538,"Giunta, Luca Antonio, 1457-1538",adicel79
godolphinwilliamsir16341696,"Godolphin, William, Sir, 1634-1696",Provenance Online Project
godolphinwilliamsir16341696,"Godolphin, William, Sir, 1634?-1696",Provenance Online Project
grcsy74511558s,GrC  Sy745.11 558s,noonie86
grcsy74511558s,GrC Sy745.11 558s,Provenance Online Project
gregwwwalterwilson18751959,"Greg, W.W. (Walter Wilson), 1875-1959",adicel79
gregwwwalterwilson18751959,"Greg, W. W. (Walter Wilson), 1875-1959",adicel79
gv,G V,Provenance Online Project
gv,GV,Provenance Online Project
harvardcollegelibrary,Harvard College Library,Provenance Online Project
harvardcollegelibrary,Harvard College. Library,adicel79
heringcharles1762or31815,"Hering, Charles, 1762 or 3-1815",noonie86
heringcharles1762or31815,"Hering, Charles 1762 or 3-1815",noonie86
hestersloane,"Hester, Sloane",adicel79
hestersloane,Hester Sloane,adicel79
holyromanemperors,Holy Roman Emperors,ebroadwe
holyromanemperors,Holy Roman emperors,Provenance Online Project
identified,Identified,Provenance Online Project
identified,identified,Provenance Online Project
illegible,illegible,miglpenn
illegible,Illegible,Provenance Online Project
initials,Initials,Provenance Online Project
initials,initials,miglpenn
italy,Italy),adicel79
italy,Italy,Provenance Online Project
italy,(Italy):,ebroadwe
jesuitenkollegaugsburg,Jesuitenkolleg Augsburg,adicel79
jesuitenkollegaugsburg,Jesuitenkolleg (Augsburg),adicel79
jesuitinscriptions,Jesuit inscriptions,Provenance Online Project
jesuitinscriptions,Jesuit Inscriptions,Provenance Online Project
jesuitsburghausenaltöttinggermany,"Jesuits (Burghausen, Altötting, Germany)",Provenance Online Project
jesuitsburghausenaltöttinggermany,"Jesuits (Burghausen Altötting, Germany)",Provenance Online Project
latcc4855121567,LatC C4855.12 1567,noonie86
latcc4855121567,LatC C4855.12.1567,Provenance Online Project
leffertsmarshallcmarshallclifford18481928,"Lefferts, Marshall C. (Marshall Clifford) 1848-1928",kevinlee1990
leffertsmarshallcmarshallclifford18481928,"Lefferts, Marshall C. (Marshall Clifford), 1848-1928",Provenance Online Project
litoměřiceczechrepublic,"(Litoměřice, Czech Republic)",adicel79
litoměřiceczechrepublic,Litoměřice (Czech Republic),adicel79
ludwigvonrenchenactive15thcentury16thcentury,"Ludwig, von Renchen, active 15th century-16th century",Provenance Online Project
ludwigvonrenchenactive15thcentury16thcentury,"Ludwig, von Renchen, active 15th century-16thcentury",Provenance Online Project
madridspain,Madrid (Spain),Provenance Online Project
madridspain,"Madrid, Spain",Provenance Online Project
malvezziducadisantacandida,"Malvezzi, duca di Santa Candida",Provenance Online Project
malvezziducadisantacandida,"Malvezzi, Duca di Santa Candida",Provenance Online Project
maximilianielectorofbavaria15731651,"Maximilian I, Elector of Bavaria (1573-1651)",Provenance Online Project
maximilianielectorofbavaria15731651,"Maximilian I, Elector of Bavaria, 1573-1651",ebroadwe
mcclureedmund1922,"McClure, Edmund, -1922",Provenance Online Project
mcclureedmund1922,"McClure, Edmund -1922",noonie86
md,M D,Provenance Online Project
md,M D.,Provenance Online Project
metabiblon,Metabiblon,Provenance Online Project
metabiblon,metabiblon,Provenance Online Project
montigiovannipaolo,"Monti, Giovanni Paolo",adicel79
montigiovannipaolo,"Monti, Giovanni, Paolo",adicel79
newyorkny,New York (N.Y.),Provenance Online Project
newyorkny,"New York, N.Y.",Kenan Jaffe
normanhubertg,"Norman, Hubert, G.",adicel79
normanhubertg,"Norman, Hubert G.",Provenance Online Project
nostitzchristophwentzelgrafvon16481712,"Nostitz, Christoph Wentzel, Graf von, 1648-1712",Provenance Online Project
nostitzchristophwentzelgrafvon16481712,"Nostitz Christoph Wentzel graf von, 1648-1712",mfraas
partiallyinked,Partially-inked,Provenance Online Project
partiallyinked,Partially inked,Provenance Online Project
paviaitaly,"Pavia, Italy",Provenance Online Project
paviaitaly,Pavia (Italy),ebroadwe
philadelphiapa,Philadelphia (Pa.),Provenance Online Project
philadelphiapa,"Philadelphia, Pa.",Kenan Jaffe
polaccogiorgiofl1644,"Polacco, Giorgio, fl. 1644",Provenance Online Project
polaccogiorgiofl1644,"Polacco, Giorgio, fl 1644",Provenance Online Project
printerofthe1483vitaspatrum,Printer of the 1483 'Vitas Patrum',ebroadwe
printerofthe1483vitaspatrum,Printer of the 1483 Vitas Patrum,ebroadwe
printersdevices,Printer's devices,adicel79
printersdevices,Printers' devices,ebroadwe
provenance,provenance,Provenance Online Project
provenance,Provenance,Provenance Online Project
providenceri,"Providence, R.I.",Kenan Jaffe
providenceri,Providence (R.I.),Kenan Jaffe
rivièreson,Rivière & son,Provenance Online Project
rivièreson,Rivière & Son,Provenance Online Project
ronconiercole16001699,"Ronconi, Ercole, 1600 -1699",adicel79
ronconiercole16001699,"Ronconi, Ercole, 1600-1699",adicel79
scatcherdnorrisson17801853,"Scatcherd, Norrisson, 1780-1853",adicel79
scatcherdnorrisson17801853,"Scatcherd, Norrisson , 1780-1853",adicel79
senecaluciusannaeusapproximately4bc65ad,"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D",ebroadwe
senecaluciusannaeusapproximately4bc65ad,"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",ebroadwe
shelfmarks,shelfmarks,miglpenn
shelfmarks,Shelfmarks,Provenance Online Project
shelfmarks,Shelf marks,noonie86
stamps,stamps,miglpenn
stamps,Stamps,Provenance Online Project
stosrolet1501,"Stos, Rolet, -1501",ebroadwe
stosrolet1501,"Stos, Rolet -1501",ebroadwe
stpeterschurch,St. Peter's Church,adicel79
stpeterschurch,St Peter's Church,adicel79
strasbourgfrance,Strasbourg (France),ebroadwe
strasbourgfrance,"Strasbourg, France",Provenance Online Project
unidentified,Unidentified,Provenance Online Project
unidentified,unidentified,miglpenn
uticany,Utica (N.Y.),Kenan Jaffe
uticany,"Utica, N.Y.",Kenan Jaffe
vg,VG,Provenance Online Project
vg,V G,Provenance Online Project
zilettigiordano16thcent,"Ziletti, Giordano, 16th cent",adicel79
zilettigiordano16thcent,"Ziletti, Giordano, 16th cent.",adicel79
